iso_code,tax_w
BE,0.696304427369191
BG,0.833503575076609
CZ,0.817546090273363
DK,0.32341650671785
DE,0.461667224640107
EE,0.733679525222552
IE,0.779231743351625
EL,0.677033492822967
ES,0.785984053713806
FR,0.648741418764302
HR,0.778032036613272
IT,0.621673923560716
CY,0.763338615953513
LV,0.676028739386022
LT,0.702825888787603
LU,0.767803710353082
HU,0.78806767586821
MT,0.940856031128405
NL,0.6957796014068
PL,0.642553191489362
PT,0.448352626892253
RO,0.742685671417854
SI,0.686918784872908
SK,0.601532567049808
FI,0.666253101736973
SE,0.635642517186674
UK,0.713831478537361
